|	|__name_enus	|__quality	|__icon	|__screenshot	|__jsonequip__arcsplpwr	|__jsonequip__arcres	|__jsonequip__armor	|__jsonequip__def	|__jsonequip__buyprice	|__jsonequip__atkpwr	|__jsonequip__agi	|__jsonequip__classes	|__jsonequip__cooldown	|__jsonequip__avgbuyout	|__jsonequip__displayid	|__jsonequip__dmgmax1	|__jsonequip__dmgmin1	|__jsonequip__dmgrange	|__jsonequip__dmgtype1	|__jsonequip__dps	|__jsonequip__dura	|__jsonequip__feratkpwr	|__jsonequip__healthrgn	|__jsonequip__firsplpwr	|__jsonequip__itemset	|__jsonequip__firres	|__jsonequip__frores	|__jsonequip__holsplpwr	|__jsonequip__frosplpwr	|__jsonequip__int	|__jsonequip__manargn	|__jsonequip__maxcount	|__jsonequip__mlecritstrkpct	|__jsonequip__mledmgmax	|__jsonequip__mledmgmin	|__jsonequip__mledps	|__jsonequip__mlehitpct	|__jsonequip__mlespeed	|__jsonequip__natsplpwr	|__jsonequip__races	|__jsonequip__reqskill	|__jsonequip__reqskillrank	|__jsonequip__parrypct	|__jsonequip__natres	|__jsonequip__reqfaction	|__jsonequip__reqlevel	|__jsonequip__rgdatkpwr	|__jsonequip__reqrep	|__jsonequip__rgdcritstrkpct	|__jsonequip__rgddmgmax	|__jsonequip__rgddmgmin	|__jsonequip__rgddps	|__jsonequip__rgdspeed	|__jsonequip__rgdhitpct	|__jsonequip__sellprice	|__jsonequip__shasplpwr	|__jsonequip__shares	|__jsonequip__sheathtype	|__jsonequip__slotbak	|__jsonequip__speed	|__jsonequip__splpen	|__jsonequip__splcritstrkpct	|__jsonequip__splhitpct	|__jsonequip__str	|__jsonequip__spi	|__jsonequip__splheal	|__jsonequip__sta	|__jsonequip__splpwr	|__attainable	|__flags2
15255	Gallant Flamberge	2	inv_sword_08	62613											28529	181	120	1	0	44.26	85													181	120	44.26		3.4								52									42545			1	17	3.4									0	8192
12764	Thorium Greatsword	2	inv_sword_22	0											23224	175	116	1	0	40.42	85													175	116	40.42		3.6								47									33621			1	17	3.6				22					0	8192
1460	Shadowhide Two-handed Sword	2	inv_sword_46	29781										1000	20109	46	30	1	0	13.1	65													46	30	13.1		2.9								15									1768			1	17	2.9				4			4		0	8192
4939	Steady Bastard Sword	2	inv_sword_34	34076							2				20112	25	16	1	0	7.59	45													25	16	7.59		2.7																	395			1	17	2.7									0	8192
2084	Darksteel Bastard Sword	2	inv_sword_13	70104											20152	79	52	1	0	20.47	85													79	52	20.47		3.2								25									5709			1	17	3.2				8	7				0	8192
2822	Mo'grosh Toothpick	2	inv_sword_45	69482											20091	40	26	1	0	11.79	60													40	26	11.79		2.8								13									1402			1	17	2.8							5		0	8192
18410	Sprinter's Sword	2	inv_sword_28	65636											30778	149	99	1	0	44.29	85													149	99	44.29		2.8																	45516			1	17	2.8									0	8192
8177	Practice Sword	1	inv_sword_45	9840										87	18354	15	9	1	0	3.75	35													15	9	3.75		3.2								2									71			1	17	3.2									0	8192
8199	Battlefield Destroyer	2	inv_sword_26	70664										15000	18342	136	90	1	0	36.45	85													136	90	36.45		3.1								42									24661			1	17	3.1									0	8192
15258	Divine Warblade	2	inv_sword_26	180650											28517	164	109	1	0	50.56	85													164	109	50.56		2.7								60									64185			1	17	2.7									0	8192
15253	Beheading Blade	2	inv_sword_29	317307										30000	28321	170	113	1	0	40.43	85													170	113	40.43		3.5								47									31547			1	17	3.5									0	8192
1194	Bastard Sword	1	inv_sword_06	53780					104						22093	8	5	1	0	2.17	30													8	5	2.17		3								1									20			1	17	3									0	8192
7955	Copper Claymore	1	inv_sword_21	53010											20071	23	15	1	0	6.33	45													23	15	6.33		3								6									241			1	17	3									0	8192
4018	Whetted Claymore	0	inv_sword_39	279752											20195	70	46	1	0	18.71	85													70	46	18.71		3.1								37									6372			1	17	3.1									0	8192
913	Huge Ogre Sword	2	inv_sword_13	0											20170	90	60	1	0	19.74	85													90	60	19.74		3.8								24									5037			1	17	3.8				11					0	8192
2489	Two-handed Sword	1	inv_sword_14	34475					342						22094	13	8	1	0	3.62	35													13	8	3.62		2.9								2									68			1	17	2.9									0	8192
15254	Dark Espadon	2	inv_sword_26	4218											28347	166	110	1	0	41.82	85													166	110	41.82		3.3								49									35584			1	17	3.3									0	8192
9602	Brushwood Blade	2	inv_sword_06	0											20069	26	17	1	0	7.17	45													26	17	7.17		3																	301			1	17	3							1		0	8192
15257	Shin Blade	2	inv_sword_10	793864											26589	127	84	1	0	47.95	85													127	84	47.95		2.2								57									55234			1	17	2.2									0	8192
13817	Tapered Greatsword	0	inv_sword_39	363118											20195	94	62	1	0	26.9	85													94	62	26.9		2.9								53									18796			1	17	2.9									0	8192
3781	Broad Claymore	0	inv_sword_23	408368										2900	20150	55	36	1	0	13.79	85													55	36	13.79		3.3								29									3125			1	17	3.3									0	8192
2529	Zweihander	1	inv_sword_15	7446					65031						22098	113	75	1	0	33.57	85													113	75	33.57		2.8								41									13006			1	17	2.8									0	8192
1513	Old Greatsword	0	inv_sword_06	449847										200	20092	25	16	1	0	5.69	50													25	16	5.69		3.6								9									293			1	17	3.6									0	8192
2521	Flamberge	1	inv_sword_26	67837					30896						22084	89	59	1	0	23.13	85													89	59	23.13		3.2								31									6179			1	17	3.2									0	8192
1412	Crude Bastard Sword	0	inv_sword_06	448701										35	20074	12	7	1	0	2.97	35													12	7	2.97		3.2								2									49			1	17	3.2									0	8192
2024	Espadon	1	inv_sword_43	45909					6078						22096	44	29	1	0	12.59	65													44	29	12.59		2.9								16									1215			1	17	2.9									0	8192
2754	Tarnished Bastard Sword	1	inv_sword_06	78056											20117	6	4	1	0	1.56	25													6	4	1.56		3.2								1									13			1	17	3.2									0	8192
1830	Long Bastard Sword	0	inv_sword_06	60465											4129	44	29	1	0	11.41	80													44	29	11.41		3.2								23									1783			1	17	3.2									0	8192
5779	Forsaken Bastard Sword	1	inv_sword_06	239753											20084	11	7	1	0	2.73	35													11	7	2.73		3.3																	30			1	17	3.3									0	8192
1818	Standard Claymore	0	inv_sword_06	75965										800	20183	35	23	1	0	9.67	75													35	23	9.67		3								19									1221			1	17	3									0	8192
1811	Blunt Claymore	0	inv_sword_06	462421										395	20037	25	16	1	0	6.61	60													25	16	6.61		3.1								12									451			1	17	3.1									0	8192
2128	Scratched Claymore	1	inv_sword_06	0											2380	7	4	1	0	1.96	30													7	4	1.96		2.8								1									20			1	17	2.8									0	8192
2497	Rusted Claymore	1	inv_sword_06	0											2399	19	12	1	0	5	40													19	12	5		3.1								4									142			1	17	3.1									0	8192
19106	Ice Barbed Spear	3	inv_spear_04	70549							21				31613	233	155	1	0	53.89	100													233	155	53.89		3.6																	73353			1	17	3.6				13			20		0	8192
9416	Grimlok's Charge	3	inv_spear_08	3370							15				22233	133	88	1	0	40.93	100													133	88	40.93		2.7								42									28218			2	17	2.7				10			15		0	8192
18725	Peacemaker	3	inv_spear_07	61886						56					31174	206	137	1	0	50.44	100												1	206	137	50.44		3.4								54			1						59927			2	17	3.4									0	8192
9475	Diabolic Skiver	3	inv_spear_01	71110											22209	149	99	1	0	42.76	100													149	99	42.76		2.9								44									33346			2	17	2.9									0	8192
17074	Shadowstrike	4	inv_spear_08	276699									60000		29176	221	147	1	0	59.35	120													221	147	59.35		3.1								58									98514			2	17	3.1									0	8192
19167	Blackfury	4	inv_spear_08	19102											31720	158	105	1	0	62.62	120					10							1	158	105	62.62		2.1								60			1						116531			2	17	2.1				35			15		0	8192
12989	Gargoyle's Bite	3	inv_spear_05	593533			60							4500	28758	66	44	1	0	18.97	80													66	44	18.97		2.9								20									2854			2	17	2.9				10					0	8192
1726	Poison-tipped Bone Spear	3	inv_spear_02	340200											20749	87	57	1	0	31.3	100													87	57	31.3		2.3								31									12183			2	17	2.3									0	8192
12583	Blackhand Doomsaw	3	inv_weapon_halberd_04	124536											22792	227	151	1	0	54	100													227	151	54		3.5								58									74346			1	17	3.5									0	8192
20083	Hunting Spear	3	inv_spear_02	59219											32717	168	111	1	0	45	100										5		1	168	111	45		3.1											1						40524			1	17	3.1							17		0	8192
13057	Bloodpike	3	inv_spear_02	9709										9800	25630	89	59	1	0	23.13	95													89	59	23.13		3.2								23									5382			2	17	3.2									0	8192
13059	Stoneraven	3	inv_spear_07	29395							13				25633	178	118	1	0	44.85	100													178	118	44.85		3.3								47									38719			2	17	3.3				13	9		15		0	8192
13054	Grim Reaper	3	inv_spear_02	3248										20000	28764	133	88	1	0	35.65	100													133	88	35.65		3.1								35									15805			1	17	3.1									0	8192
7758	Ruthless Shiv	3	inv_spear_08	71362											22238	113	75	1	0	34.81	100													113	75	34.81		2.7								34									15074			2	17	2.7				19			8		0	8192
13056	Frenzied Striker	3	inv_spear_07	62438											12562	162	108	1	0	48.21	100													162	108	48.21	2	2.8					1			51								2	48330			1	17	2.8									0	8192
17223	Thunderstrike	4	inv_spear_08	276701									60000		29191	221	147	1	0	59.35	120													221	147	59.35		3.1								58									97074			2	17	3.1									0	8192
9480	Eyegouger	3	inv_spear_05	71363							23				22235	151	100	1	0	41.83	100													151	100	41.83		3								43									31725			2	17	3				10					0	8192
6679	Armor Piercer	2	inv_spear_05	70931							11				22241	62	41	1	0	19.81	85													62	41	19.81		2.6								24									4852			2	17	2.6									0	8192
23039	The Eye of Nerub	4	inv_weapon_halberd_04	6801							45				35259	378	251	1	0	85	120													378	251	85		3.7								60									264392			1	17	3.7							22		0	8192
11809	Flame Wrath	3	inv_spear_01	368414											22031	191	127	1	0	48.18	100													191	127	48.18		3.3								51									51287			2	17	3.3									0	8192
13058	Khoo's Point	3	inv_spear_02	84021										39999	28790	117	77	1	0	38.8	100													117	77	38.8		2.5								39									21833			2	17	2.5					10		20		0	8192
1522	Headhunting Spear	2	inv_spear_05	34426							11			10100	22239	95	63	1	0	24.69	85													95	63	24.69		3.2								31									10224			2	17	3.2					6				0	8192
13055	Bonechewer	3	inv_spear_06	183480											18388	141	94	1	0	41.96	100													141	94	41.96		2.8								43									29367			1	17	2.8				23			10		0	8192
12802	Darkspear	3	inv_spear_08	599888											23283	197	131	1	0	51.25	100													197	131	51.25		3.2								55									62625			2	17	3.2									0	8192
19874	Halberd of Smiting	4	inv_weapon_halberd_12	112537											32604	263	175	1	0	62.57	120													263	175	62.57		3.5								60									112009			1	17	3.5									0	8192
7959	Blight	3	inv_spear_07	9728											22234	141	93	1	0	43.33	100													141	93	43.33		2.7								45									33857			2	17	2.7									0	8192
10799	Headspike	3	inv_spear_06	63686											22242	159	106	1	0	44.17	100													159	106	44.17		3								46									39288			2	17	3				15			18		0	8192
5200	Impaling Harpoon	2	inv_spear_07	69386							7				5949	42	27	1	0	14.38	70													42	27	14.38		2.4								20									2323			2	17	2.4									0	8192
12243	Smoldering Claw	3	inv_weapon_halberd_04	262848											5290	162	108	1	0	46.55	100					10								162	108	46.55		2.9								49									45980			2	17	2.9									0	8192
1485	Pitchfork	0	inv_spear_04	25757										1399	7464	45	29	1	0	10	75													45	29	10		3.7								20									1410			1	17	3.7									0	8192
22314	Huntsman's Harpoon	3	inv_spear_06	69277							35				34794	226	150	1	0	52.22	100													226	150	52.22		3.6								56									64398			1	17	3.6									0	8192
18871	High Warlord's Pig Sticker	4	inv_spear_01	229023											31766	353	235	1	0	77.37	120												1	353	235	77.37		3.8								60			1						59017			2	17	3.8				26			41		0	8192
13060	The Needler	3	inv_spear_08	123390											28672	136	90	1	0	51.36	100													136	90	51.36		2.2								55									60784			2	17	2.2									0	8192
21635	Barb of the Sand Reaver	4	inv_weapon_halberd_ahnqiraj	3598							41				34250	338	225	1	0	76.08	120													338	225	76.08		3.7								60									186728			1	17	3.7							31		0	8192
18869	Grand Marshal's Glaive	4	inv_spear_08	55550											31761	353	235	1	0	77.37	120												1	353	235	77.37		3.8								60			1						56993			2	17	3.8				26			41		0	8192
20660	Stonecutting Glaive	3	inv_spear_06	248457							12				33113	228	152	1	0	51.35	100													228	152	51.35		3.7								55									61543			1	17	3.7				29					0	8192
18502	Monstrous Glaive	3	inv_weapon_halberd_09	5479				7							30836	185	123	1	0	53.1	100													185	123	53.1		2.9					1			57									70127			1	17	2.9							23		0	8192
19963	Pitchfork of Madness	3	inv_spear_03	118816											32446	246	163	1	0	58.43	100													246	163	58.43		3.5								60									91276			1	17	3.5									0	8192
19946	Tigule's Harpoon	3	inv_spear_04	5472											32430	232	154	1	0	58.48	100											1		232	154	58.48	2	3.3								60								2	89871			1	17	3.3							20		0	8192
1406	Pearl-encrusted Spear	2	inv_spear_06	278977							6			6000	5638	53	35	1	0	13.75	65													53	35	13.75		3.2								20									2079			2	17	3.2							3		0	8192
13148	Chillpike	3	inv_spear_05	71364											25631	176	117	1	0	52.32	100													176	117	52.32		2.8								56									62629			2	17	2.8									0	8192
11864	White Bone Spear	2	inv_spear_05	180006											25632	131	87	1	0	40.37	85									3				131	87	40.37		2.7																	34108			2	17	2.7							21		0	8192
15810	Short Spear	1	inv_spear_05	57562					10145						26500	60	40	1	0	15.15	75													60	40	15.15		3.3								20									2029			1	17	3.3									0	8192
15811	Heavy Spear	1	inv_spear_06	57564					27132						5636	102	68	1	0	22.37	85													102	68	22.37		3.8								30									5426			1	17	3.8									0	8192
871	Flurry Axe	4	inv_axe_17	555											19235	69	37	1	0	35.33	105													69	37	35.33		1.5								42									29627			3	13	1.5									0	8192
811	Axe of the Deep Woods	4	inv_axe_07	57673											19137	146	78	1	0	41.48	105													146	78	41.48		2.7								52									54123			3	21	2.7									0	8192
12798	Annihilator	3	inv_axe_12	83201											28849	92	49	1	0	41.47	90													92	49	41.47		1.7								58									57150			3	21	1.7									0	8192
9608	Shoni's Disarming Tool	2	inv_misc_wrench_01	3287											7494	40	21	1	0	16.05	75													40	21	16.05		1.9																	5028			3	22	1.9									0	8192
12774	Dawn's Edge	3	inv_axe_05	5431											23236	100	53	1	0	36.43	90												1	100	53	36.43		2.1								50			1						36044			3	13	2.1									0	8192
18737	Bone Slicing Hatchet	3	inv_axe_11	6370							13				31189	90	48	1	0	40.59	90													90	48	40.59		1.7								57									52427			3	13	1.7							5		0	8192
17068	Deathbringer	4	inv_axe_09	2190											29161	213	114	1	0	56.38	105													213	114	56.38		2.9								60									134832			3	13	2.9									0	8192
934	Stalvan's Reaper	3	inv_axe_14	83218											19405	94	50	1	0	24.83	90													94	50	24.83		2.9								32									10682			3	13	2.9									0	8192
12990	Razor's Edge	3	inv_weapon_halberd_08	707519										9999	28810	48	25	1	0	15.21	75													48	25	15.21		2.4								18									2589			3	13	2.4				4	2				0	8192
13015	Serathil	3	inv_axe_08	368614			100								28748	99	53	1	0	40	90													99	53	40		1.9								56									53957			3	13	1.9				9					0	8192
6692	Pronged Reaver	3	inv_axe_18	62652											25597	75	40	1	0	23.96	90											1		75	40	23.96		2.4								31									9788			3	13	2.4				6	5				0	8192
1292	Butcher's Cleaver	3	inv_axe_23	81956							2				8466	32	23	1	0	16.18	75													32	23	16.18		1.7								20									3300			3	13	1.7				5					0	8192
7761	Steelclaw Reaver	3	inv_axe_06	83219							3			25000	19210	61	32	1	0	25.83	90													61	32	25.83		1.8								33									11290			3	21	1.8							8		0	8192
7941	Heavy Mithril Axe	2	inv_axe_14	83145											16126	85	45	1	0	24.07	75													85	45	24.07		2.7								37									12520			3	21	2.7							7		0	8192
2807	Guillotine Axe	3	inv_axe_24	81950							3				9118	53	28	1	0	15	75													53	28	15		2.7								18									2452			3	21	2.7				3					0	8192
2878	Bearded Boneaxe	3	inv_axe_14	6835							4			7900	8456	47	25	1	0	18.95	90													47	25	18.95		1.9								25									5143			3	21	1.9				4					0	8192
1454	Axe of the Enforcer	3	inv_axe_21	59765											8457	58	31	1	0	17.12	80													58	31	17.12		2.6								22									3937			3	13	2.6				4			3		0	8192
9478	Ripsaw	3	inv_axe_07	83215											25598	117	63	1	0	33.33	90													117	63	33.33		2.7								45									28853			3	21	2.7									0	8192
7786	Headsplitter	3	inv_axe_14	57840										30000	15938	57	30	1	0	18.91	90													57	30	18.91		2.3								25									5605			3	13	2.3				3			5		0	8192
2815	Curve-bladed Ripper	3	inv_axe_23	183487										35000	8467	75	40	1	0	30.26	90													75	40	30.26		1.9								40									19778			3	21	1.9				8			5		0	8192
13014	Axe of Rin'ji	3	inv_axe_21	120558							5			149999	25594	87	46	1	0	35	90													87	46	35		1.9								48									34705			3	13	1.9							11		0	8192
10837	Tooth of Eranikus	3	inv_axe_07	83220											19841	116	62	1	0	37.08	90													116	62	37.08	1	2.4								51								1	38801			3	21	2.4				6					0	8192
13286	Rivenspike	3	inv_pick_05	70018											23909	144	77	1	0	38.1	90													144	77	38.1		2.9								53									44106			3	13	2.9									0	8192
19362	Doom's Edge	4	inv_axe_15	4201							16				31869	154	83	1	0	51.52	105											1		154	83	51.52		2.3								60									106098			3	13	2.3				9			7		0	8192
1481	Grimclaw	3	inv_axe_13	401536											25595	42	22	1	0	16	75													42	22	16		2								20									3337			3	13	2									0	8192
10772	Glutton's Cleaver	2	inv_axe_23	62969											8466	60	32	1	0	23	75													60	32	23		2								36									12170			3	13	2									0	8192
19363	"Crul'shorukh, Edge of Chaos"	4	inv_axe_12	376532						36					31870	188	101	1	0	62.83	105											1		188	101	62.83		2.3								60									182148			3	13	2.3							13		0	8192
15853	Windreaper	3	inv_axe_08	103844											26535	118	63	1	0	39.35	90													118	63	39.35		2.3																	51418			3	13	2.3									0	8192
17016	Dark Iron Destroyer	3	inv_axe_12	83204											23276	134	71	1	0	42.71	90					6								134	71	42.71		2.4								60									63973			3	21	2.4				10					0	8192
9485	Vibroblade	3	inv_axe_14	83221											18403	40	21	1	0	19.06	90													40	21	19.06		1.6								25									5288			3	13	1.6									0	8192
12527	Ribsplitter	3	inv_axe_13	83214						10					21952	124	66	1	0	35.19	90													124	66	35.19		2.7								48									35332			3	21	2.7									0	8192
19921	Zulian Hacker	3	inv_axe_08	83225											26535	134	71	1	0	42.71	90													134	71	42.71		2.4								60									60951			3	13	2.4									0	8192
1602	Sickle Axe	3	inv_axe_06	66971							5			75000	8489	90	48	1	0	26.54	90													90	48	26.54		2.6								34									11685			3	13	2.6				6			3		0	8192
10623	Winter's Bite	3	inv_axe_07	83223											18391	88	47	1	0	32.14	90													88	47	32.14		2.1								43									24748			3	21	2.1									0	8192
9465	Digmaster 5000	3	inv_pick_01	64396							4				18377	71	38	1	0	30.28	90											1		71	38	30.28		1.8			186	175				40									18560			3	13	1.8									0	8192
2044	Crescent of Forlorn Spirits	2	inv_axe_06	3293											19220	38	20	1	0	18.13	75													38	20	18.13		1.6																	7357			3	21	1.6					6				0	8192
11920	Wraith Scythe	3	inv_axe_13	500615											28679	106	57	1	0	37.05	90													106	57	37.05		2.2								51									40732			3	21	2.2									0	8192
6738	Bleeding Crescent	2	inv_axe_12	61805											19126	57	30	1	0	18.13	75													57	30	18.13		2.4																	7040			3	21	2.4									0	8192
9378	Shovelphlange's Mining Axe	3	inv_pick_02	60740						10					18257	94	50	1	0	25.71	90											1		94	50	25.71		2.8								33									11380			3	13	2.8				6					0	8192
19103	Frostbite	3	inv_axe_22	5417											31611	150	80	1	0	42.59	90											1		150	80	42.59		2.7								60									63999			3	13	2.7				15					0	8192
12621	Demonfork	3	inv_weapon_halberd_11	80846											22885	142	76	1	0	38.93	90													142	76	38.93		2.8								54									45085			3	21	2.8									0	8192
6966	Elunite Axe	2	inv_axe_04	0								1			19135	28	14	1	0	7.78	50													28	14	7.78		2.7																	693			3	21	2.7							1		0	8192
13952	Iceblade Hacker	3	inv_axe_03	83210											28782	106	57	1	0	40.75	90													106	57	40.75		2								57									56683			3	21	2									0	8192
22816	Hatchet of Sundered Bone	4	inv_axe_08	15692						36					35258	221	119	1	0	65.38	105											1	1	221	119	65.38		2.6								60			1						213775			3	13	2.6									0	8192
21392	Sickle of Unyielding Strength	4	inv_axe_15	75180				4			6	1			33727	141	75	1	0	51.43	105				495									141	75	51.43		2.1								60												7	13	2.1				15			9		0	8192
21242	Blessed Qiraji War Axe	4	inv_axe_26	11506						14					34178	205	110	1	0	60.58	105									10			1	205	110	60.58		2.6								60			1						164024			3	13	2.6							9		0	8192
5196	Smite's Reaver	2	inv_axe_22	83217											13913	28	14	1	0	11.05	60													28	14	11.05		1.9								17									1830			3	13	1.9				2	1		1		0	8192
4561	Scalping Tomahawk	2	inv_axe_19	68433										1000	19299	14	7	1	0	5.83	40													14	7	5.83		1.8								6									309			3	21	1.8									0	8192
1819	Gouging Pick	0	inv_pick_02	51897											14039	16	8	1	0	6.67	60													16	8	6.67		1.8								17									768			3	21	1.8									0	8192
11702	Grizzle's Skinner	3	inv_axe_12	5430							6				28765	114	61	1	0	36.46	90													114	61	36.46		2.4								50									36752			3	21	2.4				8			5		0	8192
7326	Thun'grim's Axe	2	inv_axe_01	12542								1			19132	28	14	1	0	7.78	50													28	14	7.78		2.7																	696			3	21	2.7							1		0	8192
10744	Axe of the Ebon Drake	2	inv_axe_12	62101											19130	75	40	1	0	30.26	75													75	40	30.26		1.9																	24159			3	21	1.9				9					0	8192
3489	Thick War Axe	2	inv_throwingaxe_01	53575										2100	8496	28	15	1	0	8.6	50													28	15	8.6		2.5								12									937			3	21	2.5				1			1		0	8192
5426	Serpent's Kiss	3	inv_axe_23	81946											19396	44	23	1	0	13.4	65													44	23	13.4		2.5								15									1686			3	13	2.5									0	8192
9684	Force of the Hippogryph	2	inv_axe_12	83205							9				19130	95	51	1	0	30.42	75													95	51	30.42		2.4																	25729			3	21	2.4									0	8192
13408	Soul Breaker	3	inv_weapon_halberd_05	177538											24119	78	42	1	0	37.5	90													78	42	37.5		1.6								52									44142			3	21	1.6									0	8192
4568	Grunt Axe	2	inv_axe_12	811670										2000	22478	32	17	1	0	10.65	60													32	17	10.65		2.3								16									1694			3	13	2.3									0	8192
15234	Greater Scythe	2	inv_axe_03	408491										15600	5640	81	43	1	0	22.14	75													81	43	22.14		2.8								35									11354			3	21	2.8									0	8192
7942	Blue Glittering Axe	2	inv_axe_03	83138							8				5639	61	32	1	0	25.83	75													61	32	25.83		1.8								39									14659			3	13	1.8									0	8192
6978	Umbral Axe	2	inv_axe_17	54366								1			19133	28	14	1	0	7.78	50													28	14	7.78		2.7																	672			3	21	2.7							1		0	8192
19852	Ancient Hakkari Manslayer	4	inv_axe_35	83226											34718	130	69	1	0	49.75	105													130	69	49.75		2								60									98086			3	13	2									0	8192
2073	Dwarven Hatchet	2	inv_axe_04	392717										741	19134	20	10	1	0	7.5	50													20	10	7.5		2								10									742			3	21	2									0	8192
863	Gloom Reaper	2	inv_axe_08	3284										7044	19213	69	37	1	0	19.63	75													69	37	19.63		2.7								32									8964			3	13	2.7									0	8192
20675	Soulrender	3	inv_axe_13	3526						28					33128	133	71	1	0	40.8	90													133	71	40.8		2.5								57									52306			3	13	2.5									0	8192
790	Forester's Axe	2	inv_axe_14	63560										2000	19401	38	20	1	0	11.6	65													38	20	11.6		2.5								18									2020			3	21	2.5									0	8192
6194	Barreling Reaper	2	inv_axe_17	60666											19404	41	22	1	0	16.58	75													41	22	16.58		1.9																	5308			3	21	1.9							5		0	8192
21401	Scythe of the Unseen Path	4	inv_axe_15	276722							16	4			33727	161	86	1	0	51.46	105				510						3			161	86	51.46		2.4								60												7	13	2.4							9		0	8192
17046	Gutterblade	2	inv_axe_23	60754											28873	46	25	1	0	16.14	75													46	25	16.14		2.2																	4796			3	13	2.2				3			3		0	8192
18828	High Warlord's Cleaver	4	inv_axe_02	58413						28					31957	207	138	1	0	59.48	105												1	207	138	59.48		2.9								60			1						50225			3	13	2.9							7		0	8192
2845	Copper Axe	1	inv_axe_23	52552										250	14035	10	5	1	0	3.95	35													10	5	3.95		1.9								4									109			3	21	1.9									0	8192
15231	Splitting Hatchet	2	inv_axe_14	69796										5000	28469	38	20	1	0	16.11	75													38	20	16.11		1.8								26									5033			3	13	1.8									0	8192
2080	Hillborne Axe	2	inv_axe_11	61189										6000	19400	51	27	1	0	17.73	75													51	27	17.73		2.2								29									6590			3	13	2.2									0	8192
20723	Brann's Trusty Pick	2	inv_pick_03	63324											33171	130	70	1	0	37.04	75													130	70	37.04		2.7																	46934			3	21	2.7				11					0	8192
15230	Ridge Cleaver	2	inv_axe_21	59590										2399	28539	37	19	1	0	12.73	65													37	19	12.73		2.2								20									2755			3	21	2.2									0	8192
4949	Orcish Cleaver	2	inv_axe_20	56788											19214	25	13	1	0	10.56	60													25	13	10.56		1.8								16									1706			3	21	1.8				1					0	8192
15232	Hacking Cleaver	2	inv_weapon_shortblade_13	68975										5400	28542	43	22	1	0	17.11	75													43	22	17.11		1.9								28									6112			3	13	1.9									0	8192
6979	Haggard's Axe	2	inv_axe_01	53446								1			19274	28	14	1	0	7.78	50													28	14	7.78		2.7																	675			3	21	2.7							1		0	8192
1994	Ebonclaw Reaver	2	inv_axe_16	62121										300	19129	64	34	1	0	27.22	75													64	34	27.22		1.8								41									16696			3	13	1.8									0	8192
3755	Fish Gutter	2	inv_axe_22	60793											19228	46	24	1	0	16.67	75													46	24	16.67		2.1																	5447			3	21	2.1					5				0	8192
17704	Edge of Winter	2	inv_axe_06	242557											29759	56	30	1	0	20.48	75													56	30	20.48		2.1								33									9178			3	21	2.1							3		0	8192
4825	Callous Axe	2	inv_axe_21	61653					20472	8					8461	55	29	1	0	15	75													55	29	15		2.8								24									4094			3	13	2.8									0	8192
15233	Savage Axe	2	inv_axe_08	3285										8600	28525	78	42	1	0	21.43	75													78	42	21.43		2.8								34									10476			3	21	2.8									0	8192
2530	Francisca	1	inv_axe_01	462968					52219						22105	78	41	1	0	25.87	75													78	41	25.87		2.3								41									10443			3	21	2.3									0	8192
18498	Hedgecutter	3	inv_axe_11	5421											30834	90	60	1	0	39.47	90													90	60	39.47		1.9								55									47443			3	13	1.9				5			12		0	8192
1927	Deadmines Cleaver	2	inv_axe_11	68972										600	19276	27	14	1	0	7.88	50													27	14	7.88		2.6								10									690			3	21	2.6					1				0	8192
4126	Guerrilla Cleaver	2	inv_axe_21	61000							3				19217	65	34	1	0	17.68	75													65	34	17.68		2.8																	6396			3	21	2.8							4		0	8192
4445	Flesh Carver	2	inv_axe_16	83143							2			3000	19398	35	18	1	0	11.52	65													35	18	11.52		2.3								18									2068			3	21	2.3							2		0	8192
4824	Blurred Axe	2	inv_axe_14	60785					16856		4				8459	31	16	1	0	13.82	70													31	16	13.82		1.7								22									3371			3	21	1.7									0	8192
18827	Grand Marshal's Handaxe	4	inv_axe_24	70557						28					31956	207	138	1	0	59.48	105												1	207	138	59.48		2.9								60			1						50048			3	13	2.9							7		0	8192
15862	Blitzcleaver	2	inv_weapon_halberd_06	83137						20					26545	92	49	1	0	32.05	75													92	49	32.05		2.2																	28789			3	13	2.2									0	8192
2849	Bronze Axe	1	inv_axe_17	69180											19929	29	15	1	0	10.48	65													29	15	10.48		2.1								18									1269			3	21	2.1									0	8192
2490	Tomahawk	1	inv_throwingaxe_03	462988					540					100	8488	9	4	1	0	3.82	35													9	4	3.82		1.7								4									108			3	13	1.7									0	8192
15237	Corpse Harvester	2	inv_axe_16	83139											28338	111	59	1	0	32.69	75													111	59	32.69		2.6								50									30526			3	13	2.6									0	8192
10805	Eater of the Dead	2	inv_axe_12	277162											19127	92	49	1	0	32.05	75													92	49	32.05		2.2								49									29661			3	21	2.2									0	8192
15239	Felstone Reaver	2	inv_axe_10	278053											28523	95	51	1	0	36.5	75													95	51	36.5		2								56									42409			3	13	2									0	8192
2029	Cleaver	1	inv_axe_23	48718					4419						19281	26	14	1	0	9.09	55													26	14	9.09		2.2								15									883			3	13	2.2									0	8192
15240	Demon's Claw	2	inv_axe_16	83140											28504	115	61	1	0	38.26	75													115	61	38.26		2.3								59									49281			3	13	2.3									0	8192
