"|","|__name_zhcn","|__quality","|__icon","|__screenshot","|__jsonequip__cooldown","|__jsonequip__armor","|__jsonequip__arcres","|__jsonequip__agi","|__jsonequip__atkpwr","|__jsonequip__avgbuyout","|__jsonequip__def","|__jsonequip__buyprice","|__jsonequip__classes","|__jsonequip__displayid","|__jsonequip__dmgmax1","|__jsonequip__dmgmin1","|__jsonequip__dmgrange","|__jsonequip__dmgtype1","|__jsonequip__dps","|__jsonequip__dura","|__jsonequip__manargn","|__jsonequip__mlecritstrkpct","|__jsonequip__healthrgn","|__jsonequip__firres","|__jsonequip__frores","|__jsonequip__holsplpwr","|__jsonequip__maxcount","|__jsonequip__int","|__jsonequip__mledmgmax","|__jsonequip__mledmgmin","|__jsonequip__mledps","|__jsonequip__mlehitpct","|__jsonequip__mlespeed","|__jsonequip__races","|__jsonequip__reqskill","|__jsonequip__reqskillrank","|__jsonequip__natres","|__jsonequip__parrypct","|__jsonequip__reqlevel","|__jsonequip__rgdcritstrkpct","|__jsonequip__rgdhitpct","|__jsonequip__sellprice","|__jsonequip__shares","|__jsonequip__sheathtype","|__jsonequip__slotbak","|__jsonequip__speed","|__jsonequip__splcritstrkpct","|__jsonequip__splpwr","|__jsonequip__spi","|__jsonequip__splheal","|__jsonequip__sta","|__jsonequip__str","|__attainable","|__flags2"
"3196","锋利的重剑","2","inv_sword_23","495830","","","","","","1400","","","","26585","44","29","1","0","11.77","60","","","","","","","","","44","29","11.77","","3.1","","","","","","13","","","1377","","1","17","3.1","","","","","","","0","8192"
"6214","铜质大锤","1","inv_hammer_18","50364","","","","","","190","","","","10642","32","21","1","0","9.46","55","","","","","","","","","32","21","9.46","","2.8","","","","","","11","","","595","","1","17","2.8","","","","","","","0","8192"
"3206","双手骑兵剑","2","inv_sword_20","454139","","","","","","6000","","","","20186","66","44","1","0","18.97","80","","","","","","","","","66","44","18.97","","2.9","","","","","","23","","","4582","","1","17","2.9","","","","","","","0","8192"
"12969","横扫重锤","3","inv_hammer_17","66351","","","","","","","","","","23557","233","155","1","0","53.89","100","","","","","","","","","233","155","53.89","","3.6","","","","","","58","","","70884","","1","17","3.6","","","","","","","0","8192"
"2025","芒刺斧","1","inv_axe_03","45924","","","","","","","","5304","","22115","47","31","1","0","11.82","65","","","","","","","","","47","31","11.82","","3.3","","","","","","15","","","1060","","1","17","3.3","","","","","","","0","8192"
"18867","大元帅的战锤","4","inv_hammer_03","55548","","","","","","","","","","31954","353","235","1","0","77.37","120","","1","","","","","","","353","235","77.37","","3.8","","","","","","60","1","","62542","","1","17","3.8","","","","","41","26","0","8192"
"2493","木槌棒","1","inv_hammer_16","52656","","","","","","","","701","","22121","16","10","1","0","5","40","","","","","","","","","16","10","5","","2.6","","","","","","4","","","140","","1","17","2.6","","","","","","","0","8192"
"1991","地精动力铁铲","2","inv_misc_shovel_02","83801","","","","10","","","","","","18269","91","60","1","0","22.88","85","","","","","","","","","91","60","22.88","","3.3","","","","","","29","","","8357","","1","17","3.3","","","","","","6","0","8192"
"21188","塞纳留斯之拳","4","inv_hammer_23","83921","","","","","","","","","","33533","263","175","1","0","62.57","120","","","","","","","","","263","175","62.57","","3.5","","","","","","60","","","111220","","1","17","3.5","2","40","","","","","0","8192"
"1990","断脊锤","2","inv_mace_06","4663","","","","","","10000","","","","5533","101","67","1","0","24.71","85","","","","","","","","","101","67","24.71","","3.4","","","","","","31","","","10077","","1","17","3.4","","","","","","","0","8192"
"872","切石者","2","inv_throwingaxe_01","81947","","","","","","","","","","19242","55","36","1","0","13.79","65","","","","","","","","","55","36","13.79","","3.3","","","","","","16","","","2011","","1","17","3.3","","","","","","7","0","8192"
"18759","恶毒战斧","3","inv_axe_18","5436","","","","","26","","","","","31219","197","131","1","0","52.9","100","","","","","","","","","197","131","52.9","","3.1","","","","","","57","","","67844","","1","17","3.1","","","","","30","","0","8192"
"22314","猎手之矛","3","inv_spear_06","69277","","","","35","","","","","","34794","226","150","1","0","52.22","100","","","","","","","","","226","150","52.22","","3.6","","","","","","56","","","64398","","1","17","3.6","","","","","","","0","8192"
"2907","矮人伐木斧","2","inv_throwingaxe_01","59653","","","","","","","","","","19227","52","34","1","0","13.03","65","","","","","","","","","52","34","13.03","","3.3","","","","","","","","","1755","","1","17","3.3","","","","","","","0","8192"
"19962","格里雷克的刻刀","3","inv_axe_24","3520","","","","","","","","","","36762","274","182","1","0","58.46","100","","","","","","","","","274","182","58.46","","3.9","","","","","","60","","","88511","","1","17","3.9","","","","","","","0","8192"
"1455","黑石勇士战斧","2","inv_weapon_halbard_01","60694","","","","","","2900","","","","22214","62","41","1","0","16.09","75","","","","","","","","","62","41","16.09","","3.2","","","","","","19","","","2931","","1","17","3.2","","","","","","8","0","8192"
"11854","主动式负载平衡器螺丝刀","2","inv_sword_46","69021","","","","","","","","","","28245","38","25","1","0","12.6","65","","","","","","","","","38","25","12.6","","2.5","","","","","","","","","1494","","1","17","2.5","","","6","","","","0","8192"
"18871","高阶督军的赶猪棒","4","inv_spear_01","229023","","","","","","","","","","31766","353","235","1","0","77.37","120","","1","","","","","","","353","235","77.37","","3.8","","","","","","60","1","","59017","","2","17","3.8","","","","","41","26","0","8192"
"12469","切割者","3","inv_sword_02","0","","","","","","","","","","22654","124","82","1","0","41.2","100","","","","","","","","","124","82","41.2","","2.5","","","","","","42","","","29179","","1","17","2.5","","","","","","","0","8192"
"1198","优质重剑","1","inv_sword_40","55347","","","","","","","","2676","","22095","35","23","1","0","9.06","55","","","","","","","","","35","23","9.06","","3.2","","","","","","10","","","535","","1","17","3.2","","","","","","","0","8192"
"911","铁树木棍","2","inv_mace_01","4314","","","","","","5500","","","","28628","69","45","1","0","16.76","75","","","","","","","","","69","45","16.76","","3.4","","","","","","20","","","3324","","1","17","3.4","","","","","2","8","0","8192"
"18324","削浪者","3","inv_axe_17","83356","","","","","","","","","","13360","185","123","1","0","49.68","100","","1","","","","","","","185","123","49.68","","3.1","","","","","","53","1","","55189","","1","17","3.1","","","","","","26","0","8192"
"15256","屠杀长剑","2","inv_sword_26","4749","","","","","","","","","","28576","209","139","1","0","45.79","85","","","","","","","","","209","139","45.79","","3.8","","","","","","54","","","47531","","1","17","3.8","","","","","","","0","8192"
"15252","长牙剑","2","inv_sword_45","451568","","","","","","20000","","","","28465","169","112","1","0","37.97","85","","","","","","","","","169","112","37.97","","3.7","","","","","","44","","","27906","","1","17","3.7","","","","","","","0","8192"
"3197","石边双刃刀","2","inv_sword_47","419852","","","","","","8900","","","","20184","89","59","1","0","23.87","85","","","","","","","","","89","59","23.87","","3.1","","","","","","30","","","9295","","1","17","3.1","","","","","","","0","8192"
"7956","青铜战锤","1","inv_hammer_18","70786","","","","","","","","","","16146","57","37","1","0","15.16","75","","","","","","","","","57","37","15.16","","3.1","","","","","","20","","","1944","","1","17","3.1","","","","","","","0","8192"
"3188","珊瑚双刃刀","2","inv_sword_38","69509","","","","","","2500","","","","20072","34","22","1","0","10","55","","","","","","","","","34","22","10","","2.8","","","","","","10","","","879","","1","17","2.8","","","","","4","","0","8192"
"4567","短刃重剑","2","inv_sword_04","407920","","","","","","1350","","","","20111","36","24","1","0","10.71","55","","","","","","","","","36","24","10.71","","2.8","","","","","","11","","","1049","","1","17","2.8","","","","","","","0","8192"
"4964","地精打击者","2","inv_hammer_15","12539","","","","","","","","","","19544","31","20","1","0","8.23","50","","","","","","","","","31","20","8.23","","3.1","32","","","","","","","","503","","1","17","3.1","","","","","","2","0","8192"
"11786","大地之石","3","inv_sword_47","203167","","280","","","","","","","","21775","185","123","1","0","48.13","100","","","","","","","","","185","123","48.13","","3.2","","","","","","51","","","50739","","1","17","3.2","","","","","12","","0","8192"
"13060","缝衣针","3","inv_spear_08","123390","","","","","","","","","","28672","136","90","1","0","51.36","100","","","","","","","","","136","90","51.36","","2.2","","","","","","55","","","60784","","2","17","2.2","","","","","","","0","8192"
"15250","闪光双手剑","2","inv_sword_20","644910","","","","","","6600","","","","28536","84","55","1","0","21.72","85","","","","","","","","","84","55","21.72","","3.2","","","","","","27","","","6894","","1","17","3.2","","","","","","","0","8192"
"7958","青铜战斧","1","inv_axe_21","69986","","","","","","","","","","19272","59","39","1","0","16.9","80","","","","","","","","","59","39","16.9","","2.9","","","","","","22","","","2435","","1","17","2.9","","","","","","","0","8192"
"21635","沙漠掠夺者之刺","4","inv_weapon_halberd_ahnqiraj","3598","","","","41","","","","","","34250","338","225","1","0","76.08","120","","","","","","","","","338","225","76.08","","3.7","","","","","","60","","","186728","","1","17","3.7","","","","","31","","0","8192"
"15248","闪光双刃刀","2","inv_sword_23","462424","","","","","","1700","","","","28535","46","30","1","0","13.1","65","","","","","","","","","46","30","13.1","","2.9","","","","","","15","","","1791","","1","17","2.9","","","","","","","0","8192"
"15261","红杉树枝","2","inv_hammer_16","591301","","","","","","10000","","","","28524","132","88","1","0","28.95","85","","","","","","","","","132","88","28.95","","3.8","","","","","","35","","","13530","","1","17","3.8","","","","","","","0","8192"
"1461","屠戮战斧","2","inv_throwingaxe_06","69129","","","","5","","3500","","","","19375","59","39","1","0","16.9","75","","","","","","","","","59","39","16.9","","2.9","","","","","","20","","","3387","","1","17","2.9","","","","","","6","0","8192"
"12250","午夜战斧","2","inv_axe_17","68041","","","","","","","","40341","","22250","75","49","1","0","22.96","85","","","","","","","","","75","49","22.96","","2.7","","","","","","29","","","8068","","1","17","2.7","","","","","","","0","8192"
"5626","削骨巨斧","2","inv_axe_23","60527","","","","","","","","","","19246","55","36","1","0","13","65","","","","","","","","","55","36","13","","3.5","","","","","","","","","1717","","1","17","3.5","","","","","1","6","0","8192"
"6094","破甲之斧","2","inv_throwingaxe_01","558285","","","","5","","","","","","19390","47","31","1","0","11.82","60","","","","","","","","","47","31","11.82","","3.3","","","","","","","","","1278","","1","17","3.3","","","","","","","0","8192"
"4570","桦木槌","2","inv_hammer_15","219661","","","","","","888","","","","8586","40","26","1","0","10","55","","","","","","","","","40","26","10","","3.3","","","","","","10","","","922","","1","17","3.3","","","","","","","0","8192"
"922","微光重剑","1","inv_sword_10","51894","","","","","","3000","","12038","","22097","60","39","1","0","15.97","80","","","","","","","","","60","39","15.97","","3.1","","","","","","21","","","2407","","1","17","3.1","","","","","","","0","8192"
"2204","利爪队长的烤肉钉","2","inv_sword_20","83280","","","","","","","","","","20038","44","29","1","0","11.41","60","","","","","","","","","44","29","11.41","","3.2","","","","","","12","","","1133","","1","17","3.2","","","","","5","","0","8192"
"6205","挖地铲","2","inv_misc_shovel_01","73865","","","","4","","800","","","","7495","28","18","1","0","10","55","","","","","","","","","28","18","10","","2.3","","","","","","10","","","922","","1","17","2.3","","","","","","","0","8192"
"2525","巨型木槌","1","inv_hammer_03","44734","","","","","","","","26489","","22133","94","62","1","0","22.29","85","","","","","","","","","94","62","22.29","","3.5","","","","","","30","","","5297","","1","17","3.5","","","","","","","0","8192"
"22333","圣力之锤","3","inv_hammer_04","83913","","","","","","","","","","2440","134","89","1","0","53.1","100","","","","","","","","15","134","89","53.1","","2.1","","","","","","57","","","65383","","1","17","2.1","","27","","","13","","0","8192"
"21806","其拉威严之锤","3","inv_hammer_04","308373","","","","","","","","","","34474","162","108","1","0","61.36","100","6","","","","","","","16","162","108","61.36","","2.2","","","","","","60","","","103686","","1","17","2.2","","19","","","15","15","0","8192"
"1679","考尔格钉锤","2","inv_mace_01","33729","","","","","","20000","","","","5137","92","61","1","0","24.68","85","","","","","","","","","92","61","24.68","","3.1","","","","","","31","","","9635","","1","17","3.1","","","","","5","12","0","8192"
"2014","黑色金属巨剑","2","inv_sword_15","28339","","","","","","10000","","","","5176","78","52","1","0","19.7","85","","","","","","","","","78","52","19.7","","3.3","","","","","","24","","","4869","","1","17","3.3","","","","","7","7","0","8192"
"18869","大元帅的长刀","4","inv_spear_08","55550","","","","","","","","","","31761","353","235","1","0","77.37","120","","1","","","","","","","353","235","77.37","","3.8","","","","","","60","1","","56993","","2","17","3.8","","","","","41","26","0","8192"
"1195","狗头人的铲子","1","inv_misc_shovel_01","68992","","","","","","35","","","","7495","10","6","1","0","2.96","35","","","","","","","","","10","6","2.96","","2.7","","","","","","3","","","47","","1","17","2.7","","","","","","","0","8192"
"1625","胫骨之刃","2","inv_sword_46","10238","","","","","","20000","","","","26586","109","72","1","0","30.17","85","","","","","","","","","109","72","30.17","","3","","","","","","36","","","14754","","1","17","3","","","","","","","0","8192"
"756","黑铁锄","2","inv_pick_02","7432","","","","7","","199","","","","6264","74","49","1","0","19.84","85","","","","","","","","","74","49","19.84","","3.1","","","","","","24","","","4963","","1","17","3.1","","","","","7","","0","8192"
"4564","尖刺木棒","2","inv_mace_14","235095","","","","","","569","","","","6813","34","22","1","0","9.03","50","","","","","","","","","34","22","9.03","","3.1","","","","","","8","","","610","","1","17","3.1","","","","","","","0","8192"
"15259","有力战锤","2","inv_hammer_16","49137","","","","","","3500","","","","28548","65","43","1","0","16.88","75","","","","","","","","","65","43","16.88","","3.2","","","","","","20","","","3306","","1","17","3.2","","","","","","","0","8192"
"21703","棘枝战锤","4","inv_mace_21","433833","","","","","","","","","","34331","297","198","1","0","70.71","120","","","","","","","","22","297","198","70.71","","3.5","","","","","","60","","","162298","","1","17","3.5","","30","","","26","16","0","8192"
"19900","祖利安石斧","3","inv_axe_34","83357","","","","","44","","","","","34507","197","131","1","0","58.57","100","","1","","","","","","22","197","131","58.57","","2.8","","","","","","60","1","","87868","","1","17","2.8","","","","","","","0","8192"
"15255","英勇双手剑","2","inv_sword_08","62613","","","","","","","","","","28529","181","120","1","0","44.26","85","","","","","","","","","181","120","44.26","","3.4","","","","","","52","","","42545","","1","17","3.4","","","","","","","0","8192"
"15270","巨人战斧","2","inv_axe_17","591188","","","","","","30000","","","","28533","137","91","1","0","35.63","85","","","","","","","","","137","91","35.63","","3.2","","","","","","41","","","22775","","1","17","3.2","","","","","","","0","8192"
"19918","耶克里克之锤","4","inv_mace_19","83924","","","","","","","","","","32782","247.99998779296874","159.0000045776367","1","0","56.53","120","","","","","","","","","247.99998779296874","159.0000045776367","56.53","","3.6","","","","","","60","","","111003","","1","17","3.6","","","","","","","0","8192"
"12764","瑟银巨剑","2","inv_sword_22","0","","","","","","","","","","23224","175","116","1","0","40.42","85","","","","","","","","","175","116","40.42","","3.6","","","","","","47","","","33621","","1","17","3.6","","","","","","22","0","8192"
"11265","峭壁木槌","2","inv_hammer_16","20560","","","","","","","","","","28629","105","70","1","0","31.25","85","","","","","","","","","105","70","31.25","","2.8","","","","","","","","","16484","","1","17","2.8","","","","","17","","0","8192"
"1220","豺狼人战斧","2","inv_axe_14","69795","","","","6","","1800","","","","19232","36","24","1","0","13.04","65","","","","","","","","","36","24","13.04","","2.3","","","","","","15","","","1807","","1","17","2.3","","","","","","","0","8192"
"1460","暗皮双手剑","2","inv_sword_46","29781","","","","","","1000","","","","20109","46","30","1","0","13.1","65","","","","","","","","","46","30","13.1","","2.9","","","","","","15","","","1768","","1","17","2.9","","","","","4","4","0","8192"
"14531","恐怖骨锤","3","inv_hammer_13","284087","","","","","","","","","","25148","206","137","1","0","50.44","100","","","","","","","","","206","137","50.44","","3.4","","","","","","54","","","59891","","1","17","3.4","","","","","","","0","8192"
"3199","屠杀者","2","inv_throwingaxe_06","237923","","","","","","4000","","","","19372","58","38","1","0","14.55","70","","","","","","","","","58","38","14.55","","3.3","","","","","","17","","","2262","","1","17","3.3","","","","","","","0","8192"
"18868","高阶督军的粉碎之锤","4","inv_hammer_10","57682","","","","","","","","","","31750","353","235","1","0","77.37","120","","1","","","","","","","353","235","77.37","","3.8","","","","","","60","1","","62763","","1","17","3.8","","","","","41","26","0","8192"
"15273","死亡斩击者","2","inv_axe_18","445059","","","","","","","","","","28349","165","109","1","0","48.93","85","","","","","","","","","165","109","48.93","","2.8","","","","","","58","","","57108","","1","17","2.8","","","","","","","0","8192"
"20660","削石之刃","3","inv_spear_06","248457","","","","12","","","","","","33113","228","152","1","0","51.35","100","","","","","","","","","228","152","51.35","","3.7","","","","","","55","","","61543","","1","17","3.7","","","","","","29","0","8192"
"18502","巨型长刃","3","inv_weapon_halberd_09","5479","","","","","","","7","","","30836","185","123","1","0","53.1","100","","","","","","","","","185","123","53.1","","2.9","","","","","1","57","","","70127","","1","17","2.9","","","","","23","","0","8192"
"2227","重型食人魔战斧","2","inv_weapon_halbard_01","83334","","","","","","7800","","","","22219","84","55","1","0","18.29","80","","","","","","","","","84","55","18.29","","3.8","","","","","","22","","","4133","","1","17","3.8","","","","","5","7","0","8192"
"4939","坚固的重剑","2","inv_sword_34","34076","","","","2","","","","","","20112","25","16","1","0","7.59","45","","","","","","","","","25","16","7.59","","2.7","","","","","","","","","395","","1","17","2.7","","","","","","","0","8192"
"2084","黑铁重剑","2","inv_sword_13","70104","","","","","","","","","","20152","79","52","1","0","20.47","85","","","","","","","","","79","52","20.47","","3.2","","","","","","25","","","5709","","1","17","3.2","","","7","","","8","0","8192"
"2822","莫格罗什牙签","2","inv_sword_45","69482","","","","","","","","","","20091","40","26","1","0","11.79","60","","","","","","","","","40","26","11.79","","2.8","","","","","","13","","","1402","","1","17","2.8","","","","","5","","0","8192"
"9678","托克卡尔的鱼人粉碎者","2","inv_mace_05","22310","","","","","","","","","","5233","109","72","1","0","32.32","85","","","","","","","","","109","72","32.32","","2.8","","","","","","","","","17485","","1","17","2.8","","","","","18","","0","8192"
"3334","农夫的铁锨","1","inv_misc_shovel_01","83795","","","","","","200","","","","7495","17","11","1","0","3.78","35","","","","","","","","","17","11","3.78","","3.7","","","","","","2","","","68","","1","17","3.7","","","","","","","0","8192"
"3440","碎骨者","2","inv_mace_04","241044","","","","","","","","","","6806","35","23","1","0","9.06","50","","","","","","","","","35","23","9.06","","3.2","","","","","","","","","640","","1","17","3.2","","","","","","3","0","8192"
"18410","奔行者之剑","2","inv_sword_28","65636","","","","","","","","","","30778","149","99","1","0","44.29","85","","","","","","","","","149","99","44.29","","2.8","","","","","","","","","45516","","1","17","2.8","","","","","","","0","8192"
"1218","豺狼人重木棒","2","inv_mace_14","60051","","","","-10","","2000","","","","5527","61","40","1","0","13.65","65","","","","","","","","","61","40","13.65","","3.7","","","","","","16","","","2064","","1","17","3.7","","","","","","10","0","8192"
"8177","训练短剑","1","inv_sword_45","9840","","","","","","87","","","","18354","15","9","1","0","3.75","35","","","","","","","","","15","9","3.75","","3.2","","","","","","2","","","71","","1","17","3.2","","","","","","","0","8192"
"19963","疯狂草叉","3","inv_spear_03","118816","","","","","","","","","","32446","246","163","1","0","58.43","100","","","","","","","","","246","163","58.43","","3.5","","","","","","60","","","91276","","1","17","3.5","","","","","","","0","8192"
"8199","战场毁灭者","2","inv_sword_26","70664","","","","","","15000","","","","18342","136","90","1","0","36.45","85","","","","","","","","","136","90","36.45","","3.1","","","","","","42","","","24661","","1","17","3.1","","","","","","","0","8192"
"3779","沉重的战斧","0","inv_axe_11","419854","","","","","","","","","","19287","44","29","1","0","13.04","85","","","","","","","","","44","29","13.04","","2.8","","","","","","27","","","2835","","1","17","2.8","","","","","","","0","8192"
"1458","暗皮木槌","2","inv_hammer_16","69454","","","","","","3000","","","","8601","55","36","1","0","15.17","70","","","","","","","","","55","36","15.17","","3","","","","","","18","","","2623","","1","17","3","","","","","3","6","0","8192"
"3586","削木斧","2","inv_axe_11","82842","","","","","","","","","","19231","47","31","1","0","10.83","55","","","","","","","","","47","31","10.83","","3.6","","","","","","","","","1034","","1","17","3.6","","","","","2","3","0","8192"
"1680","剁头斧","2","inv_axe_17","83333","","","","","","","","","","19304","117","78","1","0","33.62","85","","1","","","","","","","117","78","33.62","","2.9","","","","","","39","1","","18234","","1","17","2.9","","","","","","9","0","8192"
"2058","卡松的大槌","2","inv_hammer_16","69453","","","","","","","","","","19611","75","49","1","0","18.24","80","","","","","","","","","75","49","18.24","","3.4","","","","","","22","","","4197","","1","17","3.4","","","","","4","8","0","8192"
"15265","痛苦巨锤","2","inv_hammer_10","60971","","","","","","","","","","28499","151","100","1","0","44.82","85","","","","","","","","","151","100","44.82","","2.8","","","","","","53","","","46823","","1","17","2.8","","","","","","","0","8192"
"2015","黑色金属战斧","2","inv_axe_17","69455","","","","","","3900","","","","19255","66","44","1","0","18.97","80","","","","","","","","","66","44","18.97","","2.9","","","","","","23","","","4443","","1","17","2.9","","","","","","10","0","8192"
"3189","断木斧","1","inv_axe_11","241026","","","","","","95","","","","8525","17","11","1","0","4.24","40","","","","","","","","","17","11","4.24","","3.3","","","","","","3","","","99","","1","17","3.3","","","","","","","0","8192"
"15258","神圣战剑","2","inv_sword_26","180650","","","","","","","","","","28517","164","109","1","0","50.56","85","","","","","","","","","164","109","50.56","","2.7","","","","","","60","","","64185","","1","17","2.7","","","","","","","0","8192"
"3198","冲击战锤","2","inv_hammer_16","3223","","","","","","2730","","","","8585","57","37","1","0","15.16","70","","","","","","","","","57","37","15.16","","3.1","","","","","","18","","","2741","","1","17","3.1","","","","","","","0","8192"
"3193","橡木槌","2","inv_hammer_15","407923","","","","","","2700","","","","19545","58","38","1","0","13.71","65","","","","","","","","","58","38","13.71","","3.5","","","","","","16","","","2072","","1","17","3.5","","","","","","","0","8192"
"23455","大元帅的破坏者","4","inv_hammer_23","55549","","","","","","","","","","36065","353","235","1","0","77.37","120","7","","","","","","","27","353","235","77.37","","3.8","","","","","","60","","","57053","","1","17","3.8","","27","","","28","","0","8192"
"15253","斩首剑","2","inv_sword_29","317307","","","","","","30000","","","","28321","170","113","1","0","40.43","85","","","","","","","","","170","113","40.43","","3.5","","","","","","47","","","31547","","1","17","3.5","","","","","","","0","8192"
"5749","镰斧","2","inv_axe_06","29821","","","","6","","","","","","19291","66","43","1","0","15.14","70","","","","","","","","","66","43","15.14","","3.6","","","","","","18","","","2664","","1","17","3.6","","","","","3","","0","8192"
"19946","提古勒的鱼叉","3","inv_spear_04","5472","","","","","","","","","","32430","232","154","1","0","58.48","100","","","","","","","1","","232","154","58.48","2","3.3","","","","","","60","","2","89871","","1","17","3.3","","","","","20","","0","8192"
"4020","断裂的战斧","0","inv_throwingaxe_06","183479","","","","","","","","","","19374","91","60","1","0","22.88","85","","","","","","","","","91","60","22.88","","3.3","","","","","","44","","","11189","","1","17","3.3","","","","","","","0","8192"
"4022","重木槌","0","inv_hammer_16","219036","","","","","","","","","","19526","92","61","1","0","23.18","85","","","","","","","","","92","61","23.18","","3.3","","","","","","45","","","12059","","1","17","3.3","","","","","","","0","8192"
"23465","高阶督军的毁灭者","4","inv_mace_09","55555","","","","","","","","","","36079","353","235","1","0","77.37","120","7","","","","","","","27","353","235","77.37","","3.8","","","","","","60","","","57089","","1","17","3.8","","27","","","28","","0","8192"
"1523","巨型石棒","2","inv_mace_14","70112","","","","","","10000","","","","5534","107","71","1","0","24.72","85","","","","","","","","","107","71","24.72","","3.6","","","","","","31","","","10261","","1","17","3.6","","","","","14","","0","8192"
"1406","珍珠长矛","2","inv_spear_06","278977","","","","6","","6000","","","","5638","53","35","1","0","13.75","65","","","","","","","","","53","35","13.75","","3.2","","","","","","20","","","2079","","2","17","3.2","","","","","3","","0","8192"
"2203","利爪队长的伐木斧","2","inv_axe_23","83328","","","","","","2900","","","","8506","51","34","1","0","12.5","65","","","","","","","","","51","34","12.5","","3.4","","","","","","14","","","1492","","1","17","3.4","","","","","","6","0","8192"
"15267","蛮力重锤","2","inv_hammer_10","116051","","","","","","","","","","28674","200","133","1","0","48.97","85","","","","","","","","","200","133","48.97","","3.4","","","","","","58","","","60203","","1","17","3.4","","","","","","","0","8192"
"5595","灌木之锤","1","inv_hammer_15","59598","","","","","","","","","","8298","24","16","1","0","6.45","45","","","","","","","","","24","16","6.45","","3.1","","","","","","","","","235","","1","17","3.1","","","","","","","0","8192"
"1194","损坏的双刃刀","1","inv_sword_06","53780","","","","","","","","104","","22093","8","5","1","0","2.17","30","","","","","","","","","8","5","2.17","","3","","","","","","1","","","20","","1","17","3","","","","","","","0","8192"
"13148","刺骨冰矛","3","inv_spear_05","71364","","","","","","","","","","25631","176","117","1","0","52.32","100","","","","","","","","","176","117","52.32","","2.8","","","","","","56","","","62629","","2","17","2.8","","","","","","","0","8192"
"1639","裂口战斧","2","inv_axe_04","33106","","","","","","","","","","5128","128","85","1","0","38.04","85","","","","","","","","","128","85","38.04","","2.8","","","","","","44","","","28460","","1","17","2.8","","","","","","","0","8192"
"2175","暗皮战斧","2","inv_throwingaxe_06","68994","","","","","","2636","","","","8534","59","39","1","0","15.31","70","","","","","","","","","59","39","15.31","","3.2","","","","","","18","","","2683","","1","17","3.2","","","","","3","6","0","8192"
"7955","铜质双刃刀","1","inv_sword_21","53010","","","","","","","","","","20071","23","15","1","0","6.33","45","","","","","","","","","23","15","6.33","","3","","","","","","6","","","241","","1","17","3","","","","","","","0","8192"
"3190","大头棍","1","inv_mace_02","448697","","","","","","185","","","","6799","14","9","1","0","4.42","40","","","","","","","","","14","9","4.42","","2.6","","","","","","3","","","99","","1","17","2.6","","","","","","","0","8192"
"15263","皇家重槌","2","inv_hammer_11","475862","","","","","","","","","","28534","126","83","1","0","38.7","85","","","","","","","","","126","83","38.7","","2.7","","","","","","45","","","28889","","1","17","2.7","","","","","","","0","8192"
"4018","双刃铁刀","0","inv_sword_39","279752","","","","","","","","","","20195","70","46","1","0","18.71","85","","","","","","","","","70","46","18.71","","3.1","","","","","","37","","","6372","","1","17","3.1","","","","","","","0","8192"
"913","食人魔巨剑","2","inv_sword_13","0","","","","","","","","","","20170","90","60","1","0","19.74","85","","","","","","","","","90","60","19.74","","3.8","","","","","","24","","","5037","","1","17","3.8","","","","","","11","0","8192"
"12772","镶饰瑟银战锤","2","inv_hammer_09","0","","","","","","","","","","23230","151","100","1","0","41.83","85","","","","","","","","","151","100","41.83","","3","","","","","","49","","","38871","","1","17","3","","","","","","23","0","8192"
"2489","无光泽的双刃刀","1","inv_sword_14","34475","","","","","","","","342","","22094","13","8","1","0","3.62","35","","","","","","","","","13","8","3.62","","2.9","","","","","","2","","","68","","1","17","2.9","","","","","","","0","8192"
"15254","黑暗军刀","2","inv_sword_26","4218","","","","","","","","","","28347","166","110","1","0","41.82","85","","","","","","","","","166","110","41.82","","3.3","","","","","","49","","","35584","","1","17","3.3","","","","","","","0","8192"
"11864","白骨长矛","2","inv_spear_05","180006","","","","","","","","","","25632","131","87","1","0","40.37","85","","","","","","","","3","131","87","40.37","","2.7","","","","","","","","","34108","","2","17","2.7","","","","","21","","0","8192"
"9602","灌木之刃","2","inv_sword_06","0","","","","","","","","","","20069","26","17","1","0","7.17","45","","","","","","","","","26","17","7.17","","3","","","","","","","","","301","","1","17","3","","","","","1","","0","8192"
"15262","巨型木槌","2","inv_hammer_19","33304","","","","","","25000","","","","28540","146","97","1","0","35.74","85","","","","","","","","","146","97","35.74","","3.4","","","","","","41","","","21552","","1","17","3.4","","","","","","","0","8192"
"1824","闪亮的战斧","0","inv_axe_18","456258","","","","","","1000","","","","19292","26","17","1","0","8.96","70","","","","","","","","","26","17","8.96","","2.4","","","","","","18","","","1104","","1","17","2.4","","","","","","","0","8192"
"6206","切石斧","1","inv_pick_02","68993","","","","","","","","","","14040","38","25","1","0","9","55","","","","","","","","","38","25","9","","3.5","","","","","","10","","","555","","1","17","3.5","","","","","","","0","8192"
"2254","碎冰战锤","2","inv_hammer_04","70186","","","","","","","","","","19612","34","22","1","0","8.48","50","","","","","","","","","34","22","8.48","","3.3","","","","","","7","","","506","","1","17","3.3","","","","","","2","0","8192"
"3782","大棒","0","inv_mace_01","61435","","","","","","","","","","19532","53","35","1","0","14.19","85","","","","","","","","","53","35","14.19","","3.1","","","","","","30","","","3451","","1","17","3.1","","","","","","","0","8192"
